Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C14, C2, C4, C7",0805,5,10uF,
"C10, C15, C3, C5, C6, C9",0805,6,0u1F,
"C11, C12",0805,2,100nF,
"C13, C8",0805,2,1uF,
D1,SOD3715X145N,1,1N5819HW-7-F,
D15,LEDC1608X35N,1,LTST-C190KGKT,
"D2, D3, D4",TVS_LESD5D5.0CT1G,3,LESD5D5.0CT1G,
"D5, D7",SK6812MINI-E_fixed,2,SK6812MINI-E,
J1,HRO_TYPE-C-31-M-12,1,TYPE-C-31-M-12,
J2,GCT_FFC2B28-12-G,1,FFC2B28-12-G,
J3,PinSocket_1x03_P2.00mm_Vertical,1,Conn_01x03,
J4,HRS_DM3AT-SF-PEJM5,1,DM3AT-SF-PEJM5,
M1,XDCR_C0720B001F,1,C0720B001F,
Q1,TRANS_2N7002,1,2N7002,
"R1, R2",0805,2,5k1,
"R10, R11, R12, R13, R14, R16, R17",0603,7,4.7k,
"R15, R4, R5, R6, R9",0603,5,10k,
R3,0805,1,75,
"R7, R8",RES_ERA2AEB242X,2,2.4k,
"SW1, SW2, SW3, SW4, SW5",SW_PTS810_SJM_250_SMTR_LFS,5,PTS810_SJM_250_SMTR_LFS,
U1,SOT229P700X180-4N,1,AMS1117-3.3,
U2,XCVR_ESP32-S3-WROOM-1-N16R2,1,ESP32-S3-WROOM-1-N16R2,
U3,XDCR_BMI270,1,BMI270,
U4,SOP50P490X110-10N,1,DRV2605LDGST,
